Linea;Uso;Forma;Stile;Versione;Formato (ml);Fea;Imboccatura;Codice Articolo;Codice;render;mask;Base;peso gr.;pz box;peso box kg;box;Descrizione;Costo Unitario (€)
1;Profumi;squadrata;;Liscia;30;18;Vite;HYD4-30;BOT_1_0_L_18_Vite;BOT_1_0_L_18_Vite_render;BOT_1_0_L_18_Vite_mask;rettangolare;85;192;15.5;39*26*22;Bottiglia in vetro x Profumi, stile , forma squadrata, Liscia, 30ml, Fea 18, Vite, base rettangolare;0,5
1;Profumi;squadrata;;Liscia;50;18;Vite;HYD4-50 XB308;BOT_1_0_L_18_Vite;BOT_1_0_L_18_Vite_render;BOT_1_0_L_18_Vite_mask;rettangolare;125;120;15.5;40*33*16;Bottiglia in vetro x Profumi, stile , forma squadrata, Liscia, 50ml, Fea 18, Vite, base rettangolare;0,6
1;Profumi;squadrata;;Liscia;100;18;Vite;HYD4-100;BOT_1_0_L_18_Vite;BOT_1_0_L_18_Vite_render;BOT_1_0_L_18_Vite_mask;rettangolare;200;60;13;41*25*18;Bottiglia in vetro x Profumi, stile , forma squadrata, Liscia, 100ml, Fea 18, Vite, base rettangolare;0,7
2;Profumi;squadrata;;Liscia;30;18;Vite;XB043;BOT_2_0_L_18_Vite;BOT_2_0_L_18_Vite_render;BOT_2_0_L_18_Vite_mask;rettangolare;105;140;16;40*29*18;Bottiglia in vetro x Profumi, stile , forma squadrata, Liscia, 30ml, Fea 18, Vite, base rettangolare;0,8
2;Profumi;squadrata;;Liscia;15;18;Vite;XB045;BOT_2_0_L_18_Vite;BOT_2_0_L_18_Vite_render;BOT_2_0_L_18_Vite_mask;rettangolare;50;240;14;40*33*16;Bottiglia in vetro x Profumi, stile , forma squadrata, Liscia, 15ml, Fea 18, Vite, base rettangolare;1
3;emulsioni;squadrata;;Liscia;25;18;Vite;W2316;BOT_3_0_L_18_Vite;BOT_3_0_L_18_Vite_render;BOT_3_0_L_18_Vite_mask;rettangolare;65;192;13.5;41*28*15;Bottiglia in vetro x emulsioni, stile , forma squadrata, Liscia, 25ml, Fea 18, Vite, base rettangolare;1,1
3;emulsioni;squadrata;;Liscia;30;18;Vite;W2317;BOT_3_0_L_18_Vite;BOT_3_0_L_18_Vite_render;BOT_3_0_L_18_Vite_mask;rettangolare;80;160;14;45*36*17;Bottiglia in vetro x emulsioni, stile , forma squadrata, Liscia, 30ml, Fea 18, Vite, base rettangolare;0,5
4;Profumi;tonda;Chanel_Chance;Liscia;30;13;Crimp;HYD232 XB353;BOT_4_Chanel_Chance_L_13_Crimp;BOT_4_Chanel_Chance_L_13_Crimp_render;BOT_4_Chanel_Chance_L_13_Crimp_mask;rettangolare;60;192;13;52*34*15;Bottiglia in vetro x Profumi, stile Chanel_Chance, forma tonda, Liscia, 30ml, Fea 13, Crimp, base rettangolare;0,5
4;Profumi;tonda;Chanel_Chance;Liscia;50;13;Crimp;GSH-011 XB352;BOT_4_Chanel_Chance_L_13_Crimp;BOT_4_Chanel_Chance_L_13_Crimp_render;BOT_4_Chanel_Chance_L_13_Crimp_mask;rettangolare;80;154;14;53*32*17;Bottiglia in vetro x Profumi, stile Chanel_Chance, forma tonda, Liscia, 50ml, Fea 13, Crimp, base rettangolare;0,6
4;Profumi;tonda;Chanel_Chance;Liscia;100;15;Crimp;HYD10763;BOT_4_Chanel_Chance_L_15_Crimp;BOT_4_Chanel_Chance_L_15_Crimp_render;BOT_4_Chanel_Chance_L_15_Crimp_mask;rettangolare;120;100;13.5;45*33*21;Bottiglia in vetro x Profumi, stile Chanel_Chance, forma tonda, Liscia, 100ml, Fea 15, Crimp, base rettangolare;0,7
5;Profumi;cilindrica;;Liscia;30;15;Crimp;W8567;BOT_5_0_L_15_Crimp;BOT_5_0_L_15_Crimp_render;BOT_5_0_L_15_Crimp_mask;tonda;160;80;14;40*25*17;Bottiglia in vetro x Profumi, stile , forma cilindrica, Liscia, 30ml, Fea 15, Crimp, base tonda;0,8
