Categoria;Linea;Modello;Finitura;colore;caratteristiche;peso gr.;Fea;Imboccatura;quantità;peso box kg;misure box cm;Codice;Descrizione;render;mask;Costo Unitario (€)
Pompa;1;13金电化铝喷头+中套;Alluminio;oro;standard;;13;Crimp;5000;;;Pompa_1_Alluminio_oro_13_standard;Pompa, 1, Alluminio, oro, standardFea 13, Crimp;Pompa_1_Alluminio_oro_13_standard_render;Pompa_1_Alluminio_oro_13_standard_mask;0,2
Cache;1;13金电化铝喷头+中套;Alluminio;oro;standard;;13;Crimp;10000;;;Cache_1_Alluminio_oro_13_standard;Cache, 1, Alluminio, oro, standardFea 13, Crimp;Cache_1_Alluminio_oro_13_standard_render;Cache_1_Alluminio_oro_13_standard_mask;0,3
Pompa;2;         15金电化铝+中套;Alluminio;oro;standard;;15;Crimp;5000;;;Pompa_2_Alluminio_oro_15_standard;Pompa, 2, Alluminio, oro, standardFea 15, Crimp;Pompa_2_Alluminio_oro_15_standard_render;Pompa_2_Alluminio_oro_15_standard_mask;0,2
Cache;2;         15金电化铝+中套;Alluminio;oro;standard;;15;Crimp;10000;;;Cache_2_Alluminio_oro_15_standard;Cache, 2, Alluminio, oro, standardFea 15, Crimp;Cache_2_Alluminio_oro_15_standard_render;Cache_2_Alluminio_oro_15_standard_mask;0,3
Pompa;3;15口113金电化铝喷头+中套（延时喷雾）;Alluminio;oro brillante;premium;;15;Crimp;5000;;;Pompa_3_Alluminio_oro brillante_15_premium;Pompa, 3, Alluminio, oro brillante, premiumFea 15, Crimp;Pompa_3_Alluminio_oro brillante_15_premium_render;Pompa_3_Alluminio_oro brillante_15_premium_mask;0,2
Cache;3;15口113金电化铝喷头+中套（延时喷雾）;Alluminio;oro brillante;premium;;15;Crimp;10000;;;Cache_3_Alluminio_oro brillante_15_premium;Cache, 3, Alluminio, oro brillante, premiumFea 15, Crimp;Cache_3_Alluminio_oro brillante_15_premium_render;Cache_3_Alluminio_oro brillante_15_premium_mask;0,3
Pompa;4;13银电化铝喷头+中套;Alluminio;argento;standard;;13;Crimp;5000;;;Pompa_4_Alluminio_argento_13_standard;Pompa, 4, Alluminio, argento, standardFea 13, Crimp;Pompa_4_Alluminio_argento_13_standard_render;Pompa_4_Alluminio_argento_13_standard_mask;0,2
Cache;4;13银电化铝喷头+中套;Alluminio;argento;standard;;13;Crimp;10000;;;Cache_4_Alluminio_argento_13_standard;Cache, 4, Alluminio, argento, standardFea 13, Crimp;Cache_4_Alluminio_argento_13_standard_render;Cache_4_Alluminio_argento_13_standard_mask;0,3
Pompa;5;13银电化铝喷头+中套;Alluminio;argento;standard;;15;Crimp;5000;;;Pompa_5_Alluminio_argento_15_standard;Pompa, 5, Alluminio, argento, standardFea 15, Crimp;Pompa_5_Alluminio_argento_15_standard_render;Pompa_5_Alluminio_argento_15_standard_mask;0,2
Cache;5;13银电化铝喷头+中套;Alluminio;argento;standard;;15;Crimp;10000;;;Cache_5_Alluminio_argento_15_standard;Cache, 5, Alluminio, argento, standardFea 15, Crimp;Cache_5_Alluminio_argento_15_standard_render;Cache_5_Alluminio_argento_15_standard_mask;0,3
